001	Banco do Brasil S.A.	www.bb.com.br
003	Banco da Amazônia S.A.	www.bancoamazonia.com.br
004	Banco do Nordeste do Brasil S.A.	www.banconordeste.gov.br
007	Banco Nacional de Desenvolvimento Econômico e Social – BNDES	www.bndes.gov.br
010	CREDICOAMO CREDITO RURAL COOPERATIVA	
011	CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A	
012	Banco Inbursa S.A.	www.bancoinbursa.com
014	State Street Brasil S.A. – Banco Comercial	www.br.natixis.com
015	UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.	
016	COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI	
017	BNY Mellon Banco S.A.	www.bnymellon.com.br
018	Banco Tricury S.A.	www.bancotricury.com.br
021	BANESTES S.A. Banco do Estado do Espírito Santo	www.banestes.com.br
024	Banco BANDEPE S.A.	www.santander.com.br
025	Banco Alfa S.A.	www.bancoalfa.com.br
029	Banco Itaú Consignado S.A.	
033	Banco Santander (Brasil) S.A.	www.santander.com.br
036	Banco Bradesco BBI S.A.	
037	Banco do Estado do Pará S.A.	www.banpara.b.br
040	Banco Cargill S.A.	www.bancocargill.com.br
041	Banco do Estado do Rio Grande do Sul S.A.	www.banrisul.com.br
047	Banco do Estado de Sergipe S.A.	www.banese.com.br
060	Confidence Corretora de Câmbio S.A.	
062	Hipercard Banco Múltiplo S.A.	www.hipercard.com.br
063	Banco Bradescard S.A.	www.ibi.com.br
064	Goldman Sachs do Brasil Banco Múltiplo S.A.	www.goldmansachs.com
065	Banco Andbank (Brasil) S.A.	www.andbank-lla.com.br
066	Banco Morgan Stanley S.A.	www.morganstanley.com.br
069	Banco Crefisa S.A.	www.crefisa.com.br
070	BRB – Banco de Brasília S.A.	www.brb.com.br
074	Banco J. Safra S.A.	www.safra.com.br
075	Banco ABN AMRO S.A.	www.abnamro.com
076	Banco KDB S.A.	www.bancokdb.com.br
077	Banco Inter S.A.	www.bancointer.com.br
078	Haitong Banco de Investimento do Brasil S.A.	www.haitongib.com.br
079	Banco Original do Agronegócio S.A.	www.original.com.br
080	B&T CORRETORA DE CAMBIO LTDA.	
081	BancoSeguro S.A.	www.rendimento.com.br
082	Banco Topázio S.A.	www.bancotopazio.com.br
083	Banco da China Brasil S.A.	www.boc-brazil.com
084	Uniprime Norte do Paraná – Coop de Economia e Crédito Mútuo dos Médicos	
085	Cooperativa Central de Crédito – AILOS	www.ailos.coop.br
089	CREDISAN COOPERATIVA DE CRÉDITO	
091	CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO S	
092	Brickell S.A. Crédito	
093	PÓLOCRED SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORT	
094	Banco Finaxis S.A.	www.bancofinaxis.com.br
095	Travelex Banco de Câmbio S.A.	www.bancoconfidence.com.br
096	Banco B3 S.A.	www2.bmfbovespa.com.br
097	Cooperativa Central de Crédito Noroeste Brasileiro Ltda.	www.credisis.com.br
098	Credialiança Cooperativa de Crédito Rural	
099	UNIPRIME CENTRAL – CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.	
100	Planner Corretora de Valores S.A.	
101	RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA	
102	XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A	
104	Caixa Econômica Federal	www.caixa.gov.br
105	Lecca Crédito, Financiamento e Investimento S/A	
107	Banco BOCOM BBM S.A.	www.bancobbm.com.br
108	PORTOCRED S.A. – CREDITO, FINANCIAMENTO E INVESTIMENTO	
111	OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.	
113	Magliano S.A. Corretora de Cambio e Valores Mobiliarios	
114	Central Cooperativa de Crédito no Estado do Espírito Santo – CECOOP	
117	ADVANCED CORRETORA DE CÂMBIO LTDA	
119	Banco Western Union do Brasil S.A.	www.bancowesternunion.com.br
120	Banco Rodobens S.A.	www.rodobens.com.br
121	Banco Agibank S.A.	www.agibank.com.br
122	Banco Bradesco BERJ S.A.	
124	Banco Woori Bank do Brasil S.A.	www.wooribank.com.br
125	Plural S.A. – Banco Múltiplo	www.brasilplural.com
126	BR Partners Banco de Investimento S.A.	www.brap.com.br
127	Codepe Corretora de Valores e Câmbio S.A.	
128	MS Bank S.A. Banco de Câmbio	www.msbank.com.br
129	UBS Brasil Banco de Investimento S.A.	www.ubs.com
130	CARUANA S.A. – SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO	
131	TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA	
132	ICBC do Brasil Banco Múltiplo S.A.	www.icbcbr.com.br
133	CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E	
134	BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA	
136	CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. – UNICRED DO BRASI	
138	Get Money Corretora de Câmbio S.A.	
139	Intesa Sanpaolo Brasil S.A. – Banco Múltiplo	www.intesasanpaolobrasil.com.br
140	Easynvest – Título Corretora de Valores SA	
142	Broker Brasil Corretora de Câmbio Ltda.	
143	Treviso Corretora de Câmbio S.A.	
144	BEXS Banco de Câmbio S.A.	www.bexs.com.br
145	LEVYCAM – CORRETORA DE CAMBIO E VALORES LTDA.	
146	GUITTA CORRETORA DE CAMBIO LTDA.	
149	Facta Financeira S.A. – Crédito Financiamento e Investimento	
157	ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.	
159	Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor	
163	Commerzbank Brasil S.A. – Banco Múltiplo	www.commerzbank.com.br
169	Banco Olé Bonsucesso Consignado S.A.	www.oleconsignado.com.br
173	BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.	
174	PERNAMBUCANAS FINANCIADORA S.A. – CRÉDITO, FINANCIAMENTO E INVESTIMENTO	
177	Guide Investimentos S.A. Corretora de Valores	
180	CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA	
183	SOCRED S.A. – SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P	
184	Banco Itaú BBA S.A.	www.itaubba.com.br
188	ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES	
189	HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS	
190	SERVICOOP – COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS DO RIO GRAN	
191	Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.	
194	PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA	
196	FAIR CORRETORA DE CAMBIO S.A.	
197	Stone Pagamentos S.A.	www.stone.com.br
208	Banco BTG Pactual S.A.	www.btgpactual.com
212	Banco Original S.A.	www.original.com.br
213	Banco Arbi S.A.	www.arbi.com.br
217	Banco John Deere S.A.	www.johndeere.com.br
218	Banco BS2 S.A.	www.bs2.com/banco/
222	Banco Credit Agricole Brasil S.A.	www.calyon.com.br
224	Banco Fibra S.A.	www.bancofibra.com.br
233	Banco Cifra S.A.	www.bancocifra.com.br
237	Next	www.next.me
237	Banco Bradesco S.A.	www.bradesco.com.br
241	Banco Clássico S.A.	www.bancoclassico.com.br
243	Banco Máxima S.A.	www.bancomaxima.com.br
246	Banco ABC Brasil S.A.	www.abcbrasil.com.br
249	Banco Investcred Unibanco S.A.	
250	BCV – Banco de Crédito e Varejo S.A.	www.bancobcv.com.br
253	Bexs Corretora de Câmbio S/A	
254	Paraná Banco S.A.	www.paranabanco.com.br
259	MONEYCORP BANCO DE CÂMBIO S.A.	
